LGA_2016,Local Government Areas - 2016,SEIFAINDEXTYPE,Index Type,SEIFA_MEASURE,Measure,TIME,Time,Value,Flag Codes,Flags
10750,Blacktown (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,968,,
10750,Blacktown (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,316,,
10750,Blacktown (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
10750,Blacktown (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,58,,
10750,Blacktown (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,78,,
10750,Blacktown (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
10750,Blacktown (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,60,,
10750,Blacktown (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,686,,
10750,Blacktown (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1144,,
10750,Blacktown (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,336962,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1070,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,487,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,90,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,112,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,9,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,86,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,898,,
10900,Blue Mountains (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1176,,
