Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2019,Q4,Total,Total,Total,Total,Total,503,700,"1,025",900,"30,013",4.48%,6.87%,3.70%,15.45%
2019,Q4,Total,Total,Total,Total,Non Strata,495,708,"1,113",929,"19,619",5.67%,8.92%,5.09%,9.05%
2019,Q4,Total,Total,Total,Total,Strata,520,685,925,844,"10,394",2.24%,3.47%,1.17%,29.84%
2019,Q4,Total,Total,Total,Albury,Total,275,370,470,382,262,16.08%,21.31%,3.97%,-0.38%
2019,Q4,Total,Total,Total,Albury,Non Strata,309,387,491,414,215,16.39%,9.01%,10.26%,-0.46%
2019,Q4,Total,Total,Total,Albury,Strata,173,200,259,237,47,-13.04%,-5.66%,-17.54%,0.00%
2019,Q4,Total,Total,Total,Armidale Regional,Total,265,338,425,363,81,0.00%,-3.23%,-19.00%,-37.69%
2019,Q4,Total,Total,Total,Armidale Regional,Non Strata,272,341,423,360,70,-1.23%,-4.01%,-23.08%,-40.17%
2019,Q4,Total,Total,Total,Armidale Regional,Strata,233,298,600,383,s,21.43%,49.50%,22.20%,-15.40%
2019,Q4,Total,Total,Total,Ballina,Total,525,630,788,682,182,-1.41%,2.44%,12.35%,-1.62%
2019,Q4,Total,Total,Total,Ballina,Non Strata,585,693,860,758,114,-0.36%,3.94%,5.56%,-6.56%
2019,Q4,Total,Total,Total,Ballina,Strata,425,535,681,555,68,5.31%,13.83%,25.93%,7.94%
2019,Q4,Total,Total,Total,Balranald,Total,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Bathurst Regional,Total,349,420,490,435,170,-3.45%,-4.55%,-2.86%,-7.61%
2019,Q4,Total,Total,Total,Bathurst Regional,Non Strata,350,430,495,442,161,-4.23%,-4.92%,-1.23%,-4.17%
2019,Q4,Total,Total,Total,Bathurst Regional,Strata,-,-,-,-,-,-,-,-,-
2019,Q4,Total,Total,Total,Bayside,Total,660,792,"1,098",917,731,0.57%,-1.80%,7.82%,44.75%
2019,Q4,Total,Total,Total,Bayside,Non Strata,"1,160","1,366","1,613","1,395",191,9.28%,13.83%,15.76%,22.44%
2019,Q4,Total,Total,Total,Bayside,Strata,635,725,840,747,540,0.69%,2.84%,5.26%,54.73%
2019,Q4,Total,Total,Total,Bega Valley,Total,328,460,596,478,163,-5.54%,-1.71%,-1.21%,-10.93%
2019,Q4,Total,Total,Total,Bega Valley,Non Strata,435,543,655,551,104,-1.81%,8.72%,-11.86%,-18.11%
