Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s000","Median Sales Price
$'000s000","Third Quartile Sales Price
'000s000","Mean Sales Price
$'000s000","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018,Q1,Total,Total,Total,Total,Total,465000,655000,913000,802000,26046,-2.96%,0.00%,-19.39%,-19.00%
2018,Q1,Total,Total,Total,Total,Non Strata,449000,655000,950000,833000,17865,-3.68%,0.77%,-19.66%,-15.72%
2018,Q1,Total,Total,Total,Total,Strata,495000,660000,862000,734000,8181,-1.90%,-0.96%,-18.81%,-25.34%
2018,Q1,Total,Total,Total,Albury,Total,236000,297000,390000,323000,264,-7.27%,-1.74%,-15.38%,3.13%
2018,Q1,Total,Total,Total,Albury,Non Strata,260000,335000,418000,350000,200,1.06%,-4.43%,-21.26%,-1.48%
2018,Q1,Total,Total,Total,Albury,Strata,162000,215000,281000,237000,64,-7.53%,7.50%,10.34%,20.75%
2018,Q1,Total,Total,Total,Armidale Regional,Total,288000,345000,451000,370000,115,1.47%,6.15%,-8.73%,1.77%
2018,Q1,Total,Total,Total,Armidale Regional,Non Strata,290000,350000,460000,376000,108,1.45%,6.06%,0.00%,8.00%
2018,Q1,Total,Total,Total,Armidale Regional,Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Ballina,Total,500000,639000,850000,712000,176,7.53%,14.73%,-9.74%,-22.81%
2018,Q1,Total,Total,Total,Ballina,Non Strata,578000,727000,946000,806000,114,13.59%,16.93%,-13.64%,-17.39%
2018,Q1,Total,Total,Total,Ballina,Strata,413000,495000,648000,538000,62,15.12%,11.99%,-1.59%,-31.11%
2018,Q1,Total,Total,Total,Balranald,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Balranald,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Bathurst,Total,339000,403000,494000,428000,212,1.10%,-1.61%,-4.07%,-17.19%
2018,Q1,Total,Total,Total,Bathurst,Non Strata,345000,413000,508000,437000,194,0.86%,-2.94%,-2.02%,-15.65%
2018,Q1,Total,Total,Total,Bathurst,Strata,285000,338000,364000,326000,20,12.50%,15.38%,-21.74%,-30.77%
2018,Q1,Total,Total,Total,Bayside,Total,671000,805000,1108000,933000,495,-1.04%,-4.73%,-25.79%,-34.52%
2018,Q1,Total,Total,Total,Bayside,Non Strata,1127000,1303000,1621000,1349000,152,-6.29%,-11.90%,-25.49%,-16.48%
2018,Q1,Total,Total,Total,Bayside,Strata,645000,720000,831000,748000,343,0.00%,-4.00%,-25.92%,-40.24%
2018,Q1,Total,Total,Total,Bega Valley,Total,336000,430000,530000,438000,183,2.38%,6.97%,-19.74%,-15.28%
2018,Q1,Total,Total,Total,Bega Valley,Non Strata,401000,470000,557000,485000,130,-4.08%,5.00%,-22.16%,-21.69%
2018,Q1,Total,Total,Total,Bega Valley,Strata,249000,315000,399000,323000,53,9.76%,5.18%,-13.11%,6.00%
2018,Q1,Total,Total,Total,Bellingen,Total,383000,513000,606000,519000,46,0.59%,0.10%,-19.30%,-37.84%
2018,Q1,Total,Total,Total,Bellingen,Non Strata,383000,513000,606000,519000,46,0.59%,-2.84%,-19.30%,-35.21%
2018,Q1,Total,Total,Total,Berrigan,Total,186000,230000,290000,250000,37,-9.80%,17.20%,2.78%,2.78%
2018,Q1,Total,Total,Total,Berrigan,Non Strata,186000,230000,290000,250000,37,-9.80%,17.20%,2.78%,2.78%
2018,Q1,Total,Total,Total,Blacktown,Total,625000,706000,850000,731000,923,-1.94%,-1.94%,-13.50%,-20.16%
2018,Q1,Total,Total,Total,Blacktown,Non Strata,665000,755000,871000,773000,733,-3.82%,-1.94%,-12.63%,-20.15%
2018,Q1,Total,Total,Total,Blacktown,Strata,491000,590000,650000,572000,190,5.17%,2.16%,-16.67%,-20.17%
2018,Q1,Total,Total,Total,Bland,Total,160000,190000,258000,212000,20,18.75%,32.87%,0.00%,5.26%
2018,Q1,Total,Total,Total,Bland,Non Strata,160000,190000,258000,212000,20,18.75%,32.87%,0.00%,5.26%
2018,Q1,Total,Total,Total,Blayney,Total,253000,300000,350000,333000,20,-17.24%,-11.11%,-28.57%,-28.57%
2018,Q1,Total,Total,Total,Blayney,Non Strata,253000,300000,350000,333000,20,-17.24%,-11.11%,-28.57%,-28.57%
2018,Q1,Total,Total,Total,Blue Mountains,Total,569000,660000,760000,689000,290,-2.98%,2.29%,-12.12%,-17.38%
2018,Q1,Total,Total,Total,Blue Mountains,Non Strata,585000,673000,769000,702000,271,-2.00%,2.36%,-13.14%,-16.36%
2018,Q1,Total,Total,Total,Blue Mountains,Strata,404000,520000,570000,503000,20,-1.89%,2.77%,5.56%,-29.63%
2018,Q1,Total,Total,Total,Bogan,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Bogan,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Bourke,Total,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Bourke,Non Strata,0,0,0,0,0,0,0,0,0
2018,Q1,Total,Total,Total,Broken Hill,Total,78000,120000,160000,126000,63,31.87%,14.29%,-35.05%,-23.17%
2018,Q1,Total,Total,Total,Broken Hill,Non Strata,78000,120000,160000,126000,63,31.87%,14.29%,-35.05%,-23.17%
2018,Q1,Total,Total,Total,Burwood,Total,711000,955000,1333000,1142000,62,-4.50%,16.04%,-50.40%,-45.13%
2018,Q1,Total,Total,Total,Burwood,Non Strata,1348000,1665000,1938000,1812000,20,4.39%,-3.20%,-51.22%,-39.39%
2018,Q1,Total,Total,Total,Burwood,Strata,699000,763000,958000,823000,42,-14.27%,-1.10%,-50.00%,-47.50%
